INDEX,CALL_TYPE,TIMESTAMP,POLYLINE
474,B,1403868943,"[[-8.619822,41.147955],[-8.620146,41.147622],[-8.620299,41.147397],[-8.620317,41.147379],[-8.620335,41.147397],[-8.620335,41.147406],[-8.620335,41.147424],[-8.620236,41.146533],[-8.620191,41.146299],[-8.620173,41.146236],[-8.618481,41.146263],[-8.618193,41.146299],[-8.617671,41.146245],[-8.617311,41.144967],[-8.61597,41.145309],[-8.614656,41.145822],[-8.613414,41.14584],[-8.612514,41.145975],[-8.612478,41.146047],[-8.61246,41.146065],[-8.612271,41.146083],[-8.610831,41.146065],[-8.610804,41.145984],[-8.61084,41.145219],[-8.610435,41.143581],[-8.609463,41.143149],[-8.607051,41.142348],[-8.60544,41.14287],[-8.605395,41.143005],[-8.60526,41.143221],[-8.605134,41.143545],[-8.604486,41.145174],[-8.603856,41.145525],[-8.603622,41.145534],[-8.603622,41.145516],[-8.603604,41.145516],[-8.601444,41.145741]]"
2817,B,1389926030,"[[-8.617581,41.146506],[-8.61759,41.146488],[-8.617563,41.145966],[-8.617491,41.145471],[-8.617446,41.145363],[-8.617437,41.145363],[-8.617437,41.14539],[-8.617104,41.145021],[-8.615808,41.145471],[-8.614449,41.145957],[-8.613288,41.146011],[-8.613198,41.145966],[-8.613243,41.146047],[-8.613072,41.146092],[-8.612451,41.146146],[-8.611776,41.146254],[-8.610957,41.14575],[-8.610624,41.143986],[-8.609823,41.143239],[-8.608545,41.143122],[-8.607348,41.142483],[-8.605395,41.142906],[-8.605017,41.143761],[-8.605017,41.143761],[-8.604954,41.14377],[-8.604972,41.143779],[-8.605035,41.143824],[-8.604603,41.144553],[-8.603001,41.145525],[-8.601039,41.145777],[-8.6004,41.146362],[-8.59995,41.147325],[-8.599122,41.147937],[-8.599086,41.147955],[-8.599068,41.147991]]"
4770,B,1396917806,"[[-8.612658,41.146047],[-8.612649,41.146083],[-8.612604,41.146092],[-8.611425,41.146101],[-8.610147,41.146371],[-8.608959,41.146902],[-8.608581,41.147478],[-8.60805,41.148333],[-8.606853,41.148126],[-8.606574,41.14836],[-8.605359,41.147928],[-8.604333,41.147631],[-8.604189,41.147748],[-8.603748,41.147595],[-8.602452,41.147244],[-8.602299,41.147307],[-8.602281,41.147325],[-8.60229,41.147325],[-8.602218,41.147271],[-8.602011,41.148144],[-8.602164,41.149998],[-8.602326,41.152005],[-8.602425,41.153841],[-8.602623,41.155029],[-8.602542,41.15511],[-8.602524,41.155092],[-8.602515,41.155083]]"
6878,C,1396411333,"[[-8.613648,41.14656],[-8.613585,41.145957],[-8.611983,41.146065],[-8.611128,41.146758],[-8.610885,41.147676],[-8.610993,41.147721],[-8.611011,41.147802],[-8.610723,41.148765],[-8.609454,41.149188],[-8.608104,41.148891],[-8.607978,41.148891],[-8.607195,41.148612],[-8.605062,41.148081],[-8.60274,41.147397],[-8.602236,41.147208],[-8.602218,41.14719],[-8.602173,41.147181],[-8.600805,41.147505],[-8.59842,41.148369],[-8.598663,41.14935],[-8.597736,41.150745],[-8.597421,41.151159],[-8.597439,41.151204]]"
7099,C,1378037615,"[[-8.613009,41.14602],[-8.612892,41.145921],[-8.612874,41.145867],[-8.612892,41.14593],[-8.612928,41.145975],[-8.612118,41.146119],[-8.61129,41.146461],[-8.611191,41.147505],[-8.61093,41.147748],[-8.610651,41.14881],[-8.609148,41.149197],[-8.608041,41.148846],[-8.607915,41.148801],[-8.607789,41.148756],[-8.606367,41.148198],[-8.60409,41.147802],[-8.603955,41.147982],[-8.603145,41.147415],[-8.602299,41.147136],[-8.602236,41.14719],[-8.602218,41.147217],[-8.600913,41.147433],[-8.599095,41.148081],[-8.599095,41.148108],[-8.598834,41.148234],[-8.5986,41.1489],[-8.598492,41.14953],[-8.597565,41.15115],[-8.596881,41.152302],[-8.596863,41.152257],[-8.59635,41.153355],[-8.597331,41.153706],[-8.599086,41.153463],[-8.599293,41.153481],[-8.599734,41.153058],[-8.599662,41.152986],[-8.599491,41.152869],[-8.599383,41.15277]]"
11844,B,1402604039,"[[-8.610696,41.145687],[-8.610759,41.145876],[-8.609634,41.146695],[-8.608707,41.147262],[-8.608248,41.147991],[-8.607654,41.149269],[-8.607492,41.149872],[-8.607501,41.14989],[-8.607294,41.150232],[-8.606961,41.150673],[-8.606898,41.150718],[-8.60652,41.150934],[-8.60553,41.150952],[-8.604612,41.150952],[-8.602704,41.151015],[-8.602092,41.150997],[-8.600337,41.15106],[-8.60031,41.151051],[-8.600292,41.15106],[-8.600283,41.151069],[-8.600193,41.150664],[-8.600319,41.149269],[-8.598861,41.149089],[-8.598339,41.149926],[-8.598006,41.150565],[-8.59842,41.150691],[-8.598861,41.150772]]"
12277,B,1400342614,"[[-8.613855,41.141196],[-8.613864,41.141142],[-8.614431,41.141205],[-8.614638,41.141745],[-8.614692,41.141808],[-8.614638,41.14197],[-8.614503,41.142186],[-8.614431,41.142159],[-8.614323,41.142465],[-8.613828,41.143005],[-8.61282,41.143689],[-8.611974,41.144328],[-8.611983,41.144427],[-8.611884,41.144472],[-8.61138,41.144787],[-8.611182,41.144886],[-8.611191,41.144895],[-8.6112,41.14494],[-8.611047,41.145012],[-8.610633,41.144193],[-8.610489,41.14377],[-8.610426,41.143617],[-8.610129,41.143275],[-8.60859,41.14314],[-8.606619,41.142339],[-8.605332,41.143248],[-8.605278,41.143338],[-8.605098,41.143797],[-8.606043,41.144472],[-8.607033,41.14494],[-8.607465,41.145417],[-8.607483,41.145444],[-8.607456,41.145426],[-8.607411,41.145399],[-8.607375,41.145399]]"
12592,B,1376405691,"[[-8.614557,41.141961],[-8.614503,41.141538],[-8.61453,41.141709],[-8.614539,41.142105],[-8.614602,41.142087],[-8.614557,41.142132],[-8.61435,41.142375],[-8.61426,41.142699],[-8.61417,41.142807],[-8.613945,41.142969],[-8.613207,41.14359],[-8.612343,41.144436],[-8.612172,41.14476],[-8.612127,41.144688],[-8.611605,41.14485],[-8.611245,41.145327],[-8.611245,41.145651],[-8.611218,41.145615],[-8.610894,41.145003],[-8.610444,41.143887],[-8.609256,41.143374],[-8.607132,41.142618],[-8.605188,41.143563],[-8.604801,41.144508],[-8.604108,41.145507],[-8.602416,41.145894],[-8.602119,41.145993],[-8.601849,41.146164],[-8.601921,41.146875],[-8.602461,41.147163],[-8.603064,41.146749],[-8.603379,41.146749],[-8.604333,41.146776],[-8.604873,41.146893],[-8.606268,41.147136]]"
14723,B,1393115619,"[[-8.613891,41.141196],[-8.614323,41.141142],[-8.61453,41.141979],[-8.613855,41.143041],[-8.612154,41.144193],[-8.611407,41.14467],[-8.611353,41.144715],[-8.611335,41.144751],[-8.611074,41.144886],[-8.611092,41.144859],[-8.611092,41.14485],[-8.611065,41.144841],[-8.611038,41.144823],[-8.610687,41.144589],[-8.610327,41.143302],[-8.609058,41.143122],[-8.608635,41.143131],[-8.606961,41.142339],[-8.605161,41.143284],[-8.605125,41.143428],[-8.605773,41.144445],[-8.607249,41.145192],[-8.607447,41.146245],[-8.606943,41.146902],[-8.607168,41.147073],[-8.608257,41.147451],[-8.60841,41.147496],[-8.609589,41.14773],[-8.610381,41.147847],[-8.611164,41.147946],[-8.611596,41.148027],[-8.611749,41.148009],[-8.612064,41.148063]]"
17387,B,1373502416,"[[-8.619894,41.148018],[-8.620011,41.147838],[-8.620317,41.147388],[-8.620344,41.147388],[-8.62029,41.146704],[-8.619255,41.146137],[-8.617869,41.146335],[-8.617833,41.146335],[-8.617464,41.145453],[-8.616771,41.144868],[-8.615115,41.14566],[-8.613486,41.145948],[-8.612064,41.146029],[-8.611839,41.14602],[-8.611776,41.146011],[-8.610372,41.1462],[-8.608959,41.146875],[-8.608203,41.148108],[-8.607204,41.148603],[-8.606475,41.148342],[-8.605647,41.148117],[-8.603847,41.147577],[-8.602452,41.14719],[-8.602344,41.147163],[-8.600994,41.147388],[-8.59941,41.147964],[-8.599149,41.148072],[-8.598708,41.148243],[-8.59869,41.149008],[-8.597988,41.150394],[-8.596953,41.152266],[-8.59635,41.153373],[-8.596332,41.153418],[-8.596305,41.153454],[-8.596323,41.153463],[-8.59662,41.153769],[-8.598735,41.153499],[-8.599482,41.153409],[-8.599482,41.153391],[-8.599473,41.153391],[-8.600211,41.153229],[-8.600877,41.153013],[-8.600796,41.153004],[-8.600769,41.152986],[-8.600778,41.152995],[-8.60085,41.153013],[-8.600859,41.153013],[-8.600859,41.153022],[-8.60085,41.153022],[-8.600769,41.153004]]"
