INDEX,CALL_TYPE,TIMESTAMP,POLYLINE
2265,A,1387360762,"[[-8.617896,41.152059],[-8.617851,41.152059],[-8.617788,41.151924],[-8.617653,41.1516],[-8.618346,41.151411],[-8.619552,41.151123],[-8.62074,41.150898],[-8.620893,41.150925],[-8.621028,41.150844],[-8.622153,41.150547],[-8.622954,41.150187],[-8.622909,41.149242],[-8.62272,41.148351],[-8.622702,41.14818],[-8.621865,41.147604],[-8.620623,41.147352],[-8.620344,41.147145],[-8.620344,41.147163],[-8.620344,41.147163]]"
4214,C,1392818100,"[[-8.621172,41.147379],[-8.622738,41.147829],[-8.624349,41.148396],[-8.625231,41.148711],[-8.625339,41.148702],[-8.626104,41.148774],[-8.627112,41.149197],[-8.627985,41.148756],[-8.62875,41.149098],[-8.629164,41.148918],[-8.629155,41.148846],[-8.629146,41.148891],[-8.629146,41.148927]]"
8944,B,1392542180,"[[-8.619795,41.148],[-8.619903,41.147937],[-8.620794,41.147388],[-8.622594,41.147766],[-8.624718,41.148459],[-8.625033,41.148576],[-8.625285,41.148711],[-8.625816,41.15052],[-8.626149,41.152446],[-8.626959,41.152554],[-8.627004,41.152554]]"
10252,B,1399481570,"[[-8.630235,41.157423],[-8.629767,41.157036],[-8.62956,41.156541],[-8.629605,41.15628],[-8.629704,41.155785],[-8.630577,41.154894],[-8.631675,41.154147],[-8.632395,41.153301],[-8.632476,41.152887],[-8.632422,41.15286],[-8.632449,41.152878],[-8.633376,41.152662],[-8.634258,41.152554],[-8.635671,41.152455],[-8.636904,41.152698],[-8.637219,41.152788],[-8.637606,41.152176],[-8.637966,41.150583],[-8.637174,41.149908],[-8.637111,41.149899],[-8.637102,41.149899],[-8.637147,41.149935],[-8.637102,41.149908],[-8.637075,41.149899]]"
11201,B,1378111832,"[[-8.62524,41.149206],[-8.625186,41.14863],[-8.626527,41.148693],[-8.627697,41.149935],[-8.628174,41.150871],[-8.628912,41.151276],[-8.629011,41.15151],[-8.628759,41.15232],[-8.628768,41.15232],[-8.628786,41.152311],[-8.628741,41.152356],[-8.627652,41.152473]]"
12313,A,1373022992,"[[-8.620056,41.146884],[-8.620083,41.146893],[-8.620074,41.146866],[-8.61993,41.146551],[-8.619723,41.146254],[-8.618355,41.146335],[-8.617662,41.146155]]"
13422,C,1398469066,"[[-8.616375,41.147136],[-8.616375,41.147145],[-8.616492,41.147163],[-8.617086,41.147208],[-8.617824,41.147199],[-8.618103,41.148162],[-8.619048,41.148594],[-8.619858,41.14845],[-8.620668,41.14881],[-8.620893,41.149557],[-8.621001,41.150313],[-8.621001,41.150385],[-8.620983,41.150412],[-8.620974,41.15043],[-8.620992,41.150538]]"
13686,A,1399474115,"[[-8.620002,41.146875],[-8.619984,41.146884],[-8.619759,41.146308],[-8.619507,41.146164],[-8.618697,41.146308],[-8.618535,41.146353],[-8.618472,41.146362],[-8.618472,41.146362],[-8.618481,41.146344],[-8.618481,41.146335],[-8.618472,41.146326],[-8.618256,41.146362],[-8.618112,41.146407],[-8.618112,41.146416],[-8.618094,41.146416],[-8.617986,41.146452],[-8.61795,41.146515],[-8.617824,41.146515],[-8.617824,41.146551],[-8.617824,41.146605],[-8.617653,41.146605],[-8.617671,41.146632],[-8.617671,41.146632],[-8.61768,41.146623],[-8.617689,41.146614],[-8.617698,41.146605],[-8.617689,41.146605],[-8.61768,41.146632],[-8.617671,41.146596],[-8.61768,41.146596],[-8.617653,41.146533],[-8.617644,41.146506],[-8.617608,41.146371],[-8.617644,41.146497],[-8.617671,41.146578],[-8.61768,41.146596],[-8.61768,41.146623],[-8.617689,41.14665],[-8.617698,41.146695],[-8.617707,41.146767],[-8.617716,41.146794],[-8.617716,41.146776],[-8.617716,41.146749],[-8.617707,41.14674],[-8.617698,41.146704],[-8.617716,41.14674],[-8.617761,41.146902],[-8.617842,41.147055],[-8.617887,41.147181],[-8.617914,41.147253],[-8.617932,41.147271],[-8.617941,41.147298],[-8.617941,41.147352],[-8.617959,41.147397],[-8.617977,41.147496],[-8.617986,41.147568],[-8.618013,41.147712],[-8.618103,41.148054],[-8.61813,41.148162],[-8.618166,41.148261],[-8.618418,41.14854],[-8.618634,41.148585],[-8.618859,41.148621],[-8.619624,41.148441],[-8.620668,41.148729],[-8.620803,41.149467],[-8.620767,41.14953],[-8.620848,41.149989],[-8.621001,41.150583],[-8.621244,41.151564],[-8.62209,41.15124],[-8.622459,41.151069],[-8.622558,41.151033],[-8.622603,41.151033],[-8.622711,41.150997],[-8.623125,41.150799],[-8.623233,41.151384],[-8.623476,41.151987],[-8.623656,41.152203]]"
18602,B,1373545024,"[[-8.63217,41.164371],[-8.632197,41.164362],[-8.633385,41.163858],[-8.635536,41.162751],[-8.637246,41.161986],[-8.637543,41.161887],[-8.637534,41.161887],[-8.637516,41.161869],[-8.637696,41.161779],[-8.637543,41.16114],[-8.637975,41.160006],[-8.637678,41.159385],[-8.636967,41.158944],[-8.63712,41.158413],[-8.637165,41.158404]]"
20784,B,1376322636,"[[-8.630235,41.15745],[-8.630199,41.157432],[-8.630937,41.156856],[-8.631567,41.156874],[-8.632314,41.157612],[-8.633088,41.158422],[-8.634537,41.158863],[-8.635248,41.158962],[-8.635293,41.158917],[-8.635635,41.15898],[-8.637489,41.159295],[-8.639586,41.159628],[-8.640486,41.15979],[-8.640468,41.159799],[-8.640477,41.15979],[-8.640468,41.15979],[-8.640639,41.159691],[-8.641125,41.158098],[-8.641962,41.157162],[-8.643294,41.157423],[-8.643852,41.15754],[-8.643843,41.157549],[-8.643843,41.157558],[-8.643834,41.157549],[-8.644158,41.157603],[-8.643024,41.157315]]"
