INDEX,CALL_TYPE,TIMESTAMP,POLYLINE
1129,C,1374861600,"[[-8.607033,41.147019],[-8.607078,41.146947],[-8.608464,41.147334],[-8.610417,41.14773],[-8.610696,41.147748],[-8.610687,41.147694],[-8.610768,41.147604],[-8.612091,41.147919],[-8.621343,41.147523],[-8.622432,41.14773],[-8.622747,41.147811],[-8.624394,41.148288],[-8.625276,41.148666],[-8.625699,41.149872],[-8.625825,41.151177],[-8.626023,41.152122],[-8.626995,41.152536],[-8.628066,41.152473],[-8.628246,41.152482],[-8.628282,41.152482],[-8.629605,41.152599],[-8.630469,41.152644],[-8.631828,41.152716],[-8.632071,41.153724],[-8.631225,41.154435],[-8.630784,41.154705],[-8.630613,41.154813],[-8.630613,41.154804],[-8.630631,41.154777],[-8.630163,41.155218]]"
9341,C,1398201840,"[[-8.614494,41.141295],[-8.614062,41.142915],[-8.612406,41.144103],[-8.611281,41.144949],[-8.611245,41.145066],[-8.611227,41.14503],[-8.611218,41.145003],[-8.61093,41.145075],[-8.610552,41.145984],[-8.609202,41.146722],[-8.608761,41.147316],[-8.609787,41.147721],[-8.610669,41.147829],[-8.610696,41.147856],[-8.612055,41.148018],[-8.612982,41.148117],[-8.614206,41.148063],[-8.615871,41.147361],[-8.616879,41.147253],[-8.618031,41.147379],[-8.6184,41.148342],[-8.619543,41.148477],[-8.62038,41.148612],[-8.620722,41.149224]]"
17644,B,1384785771,"[[-8.610903,41.145489],[-8.610876,41.145516],[-8.610894,41.145714],[-8.610804,41.145849],[-8.610417,41.146146],[-8.60967,41.146677],[-8.608824,41.1471],[-8.608725,41.147082],[-8.608842,41.147415],[-8.609112,41.147487],[-8.610246,41.147685],[-8.610912,41.14782],[-8.61237,41.148036],[-8.621145,41.147523],[-8.621253,41.147496],[-8.621397,41.147514],[-8.621739,41.147568],[-8.622243,41.147694],[-8.62254,41.147775],[-8.622549,41.147802],[-8.623881,41.148162],[-8.624979,41.148576],[-8.625546,41.149233],[-8.62587,41.150682],[-8.625924,41.152059],[-8.625942,41.152176],[-8.62596,41.15214],[-8.626329,41.153256],[-8.626689,41.154273],[-8.62668,41.154255],[-8.62668,41.154255],[-8.626896,41.155038],[-8.627895,41.156271],[-8.62812,41.156352],[-8.628246,41.156253],[-8.628597,41.156739],[-8.628579,41.156748],[-8.62857,41.156739],[-8.628561,41.156748],[-8.62857,41.156757],[-8.628498,41.157072],[-8.628282,41.157261],[-8.628192,41.157378],[-8.62749,41.157621],[-8.625726,41.157405],[-8.625258,41.157243],[-8.625267,41.157225],[-8.624952,41.157171]]"
26804,B,1400492128,"[[-8.609094,41.147721],[-8.609076,41.147721],[-8.608779,41.14764],[-8.609067,41.147532],[-8.609463,41.147658],[-8.609661,41.147739],[-8.61066,41.147838],[-8.611695,41.147991],[-8.611713,41.147991],[-8.61174,41.148027],[-8.612631,41.148225],[-8.621469,41.147559],[-8.621685,41.147586],[-8.622216,41.147694],[-8.623539,41.148054],[-8.624106,41.148207],[-8.625393,41.148747],[-8.625753,41.15007],[-8.626032,41.151321],[-8.62623,41.152923],[-8.62668,41.1543],[-8.626662,41.154372],[-8.626608,41.154336],[-8.626851,41.154786],[-8.627418,41.155704],[-8.628183,41.156451],[-8.628507,41.157171],[-8.628192,41.157432],[-8.628066,41.158026],[-8.628813,41.158854],[-8.629929,41.158638],[-8.630892,41.158269],[-8.631936,41.158503],[-8.631999,41.158476]]"
27303,B,1385747137,"[[-8.615538,41.140665],[-8.614521,41.141106],[-8.614197,41.142438],[-8.613207,41.143518],[-8.61183,41.144499],[-8.611776,41.144499],[-8.611506,41.144724],[-8.610894,41.145093],[-8.61084,41.145327],[-8.610831,41.145327],[-8.61084,41.145318],[-8.610813,41.145444],[-8.610777,41.145579],[-8.610759,41.14557],[-8.610759,41.145552],[-8.610759,41.145561],[-8.610723,41.145723],[-8.610687,41.145867],[-8.610687,41.145975],[-8.610597,41.146038],[-8.610588,41.146047],[-8.610282,41.146263],[-8.610057,41.146461],[-8.610021,41.146533],[-8.609949,41.146551],[-8.609904,41.146578],[-8.609769,41.146659],[-8.609625,41.146704],[-8.609157,41.14683],[-8.608842,41.147046],[-8.608878,41.147046],[-8.608905,41.147046],[-8.608914,41.147064],[-8.608806,41.147424],[-8.60913,41.147505],[-8.610138,41.147694],[-8.612019,41.147973],[-8.61201,41.147946],[-8.61255,41.148099],[-8.620191,41.147694],[-8.620767,41.149035],[-8.620866,41.149764],[-8.62092,41.150088],[-8.620929,41.150088],[-8.62092,41.150088],[-8.620911,41.150079],[-8.620902,41.150079],[-8.620911,41.15007],[-8.620947,41.150061]]"
27393,C,1382531223,"[[-8.606421,41.144733],[-8.606709,41.144841],[-8.606736,41.144787],[-8.60733,41.145363],[-8.607069,41.146281],[-8.606871,41.146893],[-8.606781,41.146947],[-8.606763,41.146947],[-8.606763,41.146956],[-8.607906,41.147235],[-8.608401,41.147361],[-8.608428,41.147397],[-8.609895,41.14764],[-8.61066,41.147802],[-8.611452,41.147892],[-8.613099,41.148216],[-8.621739,41.147604],[-8.623152,41.147964],[-8.624709,41.148468],[-8.625528,41.149026],[-8.625789,41.15007],[-8.625951,41.151636],[-8.626581,41.153823],[-8.626878,41.154795],[-8.627319,41.155452],[-8.627787,41.156028],[-8.628174,41.156514],[-8.628417,41.156775],[-8.628084,41.157477],[-8.628084,41.15754],[-8.628282,41.158575],[-8.62938,41.158899],[-8.630109,41.158485],[-8.630397,41.15763],[-8.630415,41.157603],[-8.630451,41.157576],[-8.630442,41.157567],[-8.630433,41.15754]]"
28017,C,1382433441,"[[-8.607321,41.149305],[-8.607456,41.148864],[-8.607672,41.148495],[-8.608293,41.147577],[-8.608608,41.147505],[-8.608932,41.14764],[-8.611911,41.147937],[-8.612289,41.14809],[-8.622837,41.147793],[-8.62497,41.148522],[-8.625816,41.149926],[-8.626032,41.15097],[-8.626167,41.152518],[-8.626626,41.15448],[-8.627346,41.155695],[-8.627994,41.156262],[-8.628129,41.156235],[-8.628102,41.156244],[-8.628093,41.156253],[-8.628048,41.156244]]"
31006,B,1383409813,"[[-8.610912,41.145597],[-8.610876,41.145642],[-8.610867,41.145678],[-8.610849,41.145732],[-8.610831,41.14575],[-8.610795,41.145957],[-8.610498,41.146119],[-8.609823,41.146587],[-8.609643,41.146704],[-8.609472,41.146794],[-8.609328,41.146803],[-8.609292,41.146803],[-8.608914,41.146947],[-8.608725,41.147253],[-8.608653,41.147226],[-8.608653,41.147226],[-8.608671,41.147226],[-8.608914,41.147442],[-8.609373,41.147532],[-8.610516,41.147793],[-8.610696,41.147883],[-8.610687,41.147901],[-8.611533,41.147937],[-8.612928,41.148189],[-8.621622,41.147568],[-8.622801,41.147856],[-8.624115,41.148261],[-8.624448,41.148396],[-8.624448,41.148387],[-8.624475,41.148414],[-8.624619,41.14845],[-8.625123,41.148666],[-8.625546,41.149539],[-8.625852,41.150844],[-8.625951,41.151969],[-8.626005,41.152149],[-8.626005,41.152149],[-8.626194,41.152662],[-8.626914,41.152563],[-8.627571,41.152491],[-8.629209,41.152617],[-8.631315,41.152716],[-8.63217,41.153373],[-8.631171,41.154453],[-8.630631,41.154813],[-8.630595,41.154804],[-8.630514,41.154768]]"
32428,B,1392127611,"[[-8.606547,41.144517],[-8.606691,41.144607],[-8.607312,41.145174],[-8.607258,41.145723],[-8.607078,41.14629],[-8.606916,41.14665],[-8.606925,41.146641],[-8.606952,41.146614],[-8.606889,41.146686],[-8.606889,41.147064],[-8.608023,41.147253],[-8.608563,41.147316],[-8.609481,41.147559],[-8.610219,41.147694],[-8.61138,41.147856],[-8.61282,41.148135],[-8.621055,41.147433],[-8.621118,41.147514],[-8.621982,41.14764],[-8.62245,41.147811],[-8.622441,41.147838],[-8.622513,41.147865],[-8.624322,41.148369],[-8.625006,41.148612],[-8.625312,41.148738],[-8.62578,41.150178],[-8.62587,41.151807],[-8.62596,41.152086],[-8.62596,41.152122],[-8.62641,41.153463],[-8.626824,41.154786],[-8.627283,41.155389],[-8.627589,41.155776],[-8.627877,41.156073],[-8.627913,41.156055]]"
33510,B,1382868125,"[[-8.611101,41.145417],[-8.610984,41.145795],[-8.609832,41.146605],[-8.608941,41.147037],[-8.608851,41.147181],[-8.608743,41.147352],[-8.61003,41.14773],[-8.610651,41.147811],[-8.610642,41.14782],[-8.611236,41.147901],[-8.62101,41.147631],[-8.623818,41.148135],[-8.625393,41.148756],[-8.625852,41.150277],[-8.62623,41.152761],[-8.626761,41.154255],[-8.627391,41.155551],[-8.628525,41.157144],[-8.628471,41.156928],[-8.628093,41.15772],[-8.628012,41.157846],[-8.628759,41.158395],[-8.629839,41.158512],[-8.630181,41.158377],[-8.630172,41.158413],[-8.630334,41.157549],[-8.630307,41.157495],[-8.63028,41.157495],[-8.630253,41.157477],[-8.630244,41.157468]]"
