INDEX,CALL_TYPE,TIMESTAMP,POLYLINE
3872,B,1395326927,"[[-8.612514,41.146011],[-8.612307,41.146101],[-8.61219,41.146101],[-8.612541,41.147784],[-8.621901,41.147631],[-8.622189,41.147694],[-8.624781,41.148441],[-8.625681,41.149476],[-8.626167,41.152365],[-8.626671,41.154129],[-8.627175,41.155101],[-8.627598,41.155398],[-8.628093,41.155749],[-8.628174,41.15592],[-8.628534,41.156244],[-8.628498,41.156559],[-8.628678,41.15691],[-8.628228,41.157315],[-8.62704,41.157297],[-8.625879,41.157189],[-8.62587,41.157252],[-8.625924,41.157288],[-8.625915,41.157315],[-8.625888,41.157333]]"
6149,B,1384087350,"[[-8.63019,41.157459],[-8.630163,41.15745],[-8.629803,41.157099],[-8.629173,41.156982],[-8.628534,41.15673],[-8.627553,41.155623],[-8.626698,41.153832],[-8.626392,41.152869],[-8.626338,41.152941],[-8.626194,41.152527],[-8.625915,41.150988],[-8.625726,41.149755],[-8.625555,41.148873],[-8.6256,41.148837],[-8.625582,41.148747],[-8.624142,41.148117],[-8.622693,41.147829],[-8.620857,41.147415],[-8.620236,41.146389],[-8.618841,41.146209],[-8.617617,41.146065],[-8.617104,41.144832],[-8.615727,41.145408],[-8.614251,41.145975],[-8.61408,41.146218],[-8.614116,41.146236],[-8.614116,41.146245],[-8.614125,41.146236],[-8.614116,41.146236],[-8.614125,41.146227],[-8.614152,41.146218],[-8.614692,41.146596],[-8.615079,41.146821],[-8.615709,41.14728],[-8.61678,41.147253],[-8.617788,41.147217],[-8.618139,41.148135],[-8.619075,41.14863],[-8.619903,41.147973],[-8.620722,41.147379],[-8.622135,41.14764],[-8.622477,41.147784],[-8.622585,41.147829],[-8.624538,41.148432],[-8.625186,41.148666],[-8.625753,41.150097],[-8.625969,41.152023],[-8.626077,41.15232],[-8.626239,41.152644],[-8.627922,41.152482],[-8.62938,41.152509],[-8.629803,41.152563],[-8.629821,41.152455]]"
7577,C,1393727094,"[[-8.613477,41.147262],[-8.613702,41.146605],[-8.613585,41.146497],[-8.613621,41.146308],[-8.61363,41.146299],[-8.613639,41.146191],[-8.613432,41.146074],[-8.613666,41.146101],[-8.613414,41.145876],[-8.612235,41.146092],[-8.612235,41.146929],[-8.612181,41.148081],[-8.620155,41.147721],[-8.620947,41.148432],[-8.620893,41.149404],[-8.621028,41.150016],[-8.621145,41.150826],[-8.621703,41.151312],[-8.623215,41.150556],[-8.6229,41.149413],[-8.62272,41.147973],[-8.622729,41.147955],[-8.622747,41.147955],[-8.623926,41.148099],[-8.625726,41.149638],[-8.626023,41.152068],[-8.624718,41.152761],[-8.62488,41.153472],[-8.625501,41.153742],[-8.62551,41.153697],[-8.625519,41.153697],[-8.62551,41.153733],[-8.625528,41.153742],[-8.626095,41.154093],[-8.626554,41.154453],[-8.626779,41.154615],[-8.626311,41.152977],[-8.626257,41.152824],[-8.62623,41.152806],[-8.625834,41.15124],[-8.625528,41.149125],[-8.625357,41.148621],[-8.623089,41.147892],[-8.620596,41.147289],[-8.619876,41.146011],[-8.617869,41.146389],[-8.617608,41.146254],[-8.617023,41.144814],[-8.615205,41.145615],[-8.614269,41.145975],[-8.614098,41.146164],[-8.614035,41.146353],[-8.613972,41.146425],[-8.613963,41.146515],[-8.613945,41.146695],[-8.613945,41.146821],[-8.613954,41.146938],[-8.613864,41.14728],[-8.6139,41.147433],[-8.613864,41.147532],[-8.613828,41.147604],[-8.613774,41.14764],[-8.613639,41.147613],[-8.613531,41.147496],[-8.613279,41.14755],[-8.613081,41.148063],[-8.613342,41.14836],[-8.614449,41.147865],[-8.616033,41.147397],[-8.617248,41.147307],[-8.618094,41.147982],[-8.619174,41.148657],[-8.619831,41.148018],[-8.621379,41.147559],[-8.622486,41.147811],[-8.622882,41.147919],[-8.625042,41.148594],[-8.6256,41.149431],[-8.626095,41.152158],[-8.62785,41.1525],[-8.629506,41.152563],[-8.630559,41.152284],[-8.630676,41.152212]]"
8438,B,1394744107,"[[-8.617644,41.146137],[-8.617635,41.146119],[-8.617491,41.145462],[-8.616591,41.144994],[-8.615763,41.145354],[-8.614395,41.145921],[-8.61282,41.145975],[-8.612127,41.1462],[-8.61219,41.147478],[-8.613261,41.148144],[-8.622909,41.147901],[-8.625528,41.148882],[-8.625951,41.150934],[-8.625978,41.152023],[-8.626203,41.152743],[-8.626554,41.153976],[-8.626815,41.154084],[-8.626824,41.154093],[-8.62695,41.154849],[-8.628003,41.156181],[-8.628534,41.156802],[-8.628696,41.156892],[-8.628066,41.157729],[-8.627949,41.158071],[-8.628858,41.158872],[-8.628705,41.159835],[-8.628507,41.160474],[-8.628633,41.160825],[-8.629416,41.161059],[-8.629911,41.161563],[-8.630874,41.162607]]"
8957,B,1398162467,"[[-8.610777,41.145615],[-8.610777,41.145624],[-8.610678,41.145966],[-8.610282,41.146227],[-8.609877,41.146533],[-8.608968,41.146956],[-8.608788,41.147361],[-8.609229,41.147505],[-8.610543,41.147829],[-8.610732,41.147703],[-8.610723,41.147712],[-8.610741,41.147766],[-8.611704,41.14791],[-8.620731,41.14746],[-8.621667,41.147532],[-8.621982,41.147613],[-8.621973,41.147613],[-8.622072,41.147649],[-8.62344,41.148018],[-8.625051,41.148585],[-8.625051,41.148603],[-8.625294,41.148684],[-8.625807,41.150322],[-8.625951,41.151897],[-8.626545,41.154021],[-8.626707,41.154354],[-8.626896,41.15484],[-8.627931,41.15619],[-8.628435,41.156676],[-8.628615,41.157027],[-8.628075,41.157648],[-8.627985,41.158008],[-8.62839,41.158629],[-8.628696,41.159448],[-8.628588,41.159862],[-8.628273,41.160996],[-8.628039,41.161599],[-8.628048,41.161581]]"
11487,B,1388896166,"[[-8.612748,41.145993],[-8.612748,41.145948],[-8.612757,41.145957],[-8.612496,41.145939],[-8.612244,41.146488],[-8.612154,41.147676],[-8.612208,41.147955],[-8.620074,41.147775],[-8.620668,41.148657],[-8.621037,41.150394],[-8.621064,41.152059],[-8.621037,41.153544],[-8.620938,41.155209],[-8.620884,41.155704],[-8.621109,41.156622],[-8.621703,41.156739],[-8.621694,41.156757]]"
14226,C,1386602581,"[[-8.606466,41.144571],[-8.606646,41.144715],[-8.607177,41.145102],[-8.607348,41.145426],[-8.607186,41.145651],[-8.607033,41.146146],[-8.606916,41.146434],[-8.606718,41.146515],[-8.606691,41.146524],[-8.606754,41.146605],[-8.606745,41.146821],[-8.607132,41.147244],[-8.607456,41.147253],[-8.607582,41.147208],[-8.607969,41.147316],[-8.608266,41.147469],[-8.608329,41.147397],[-8.608365,41.147388],[-8.608365,41.147406],[-8.608716,41.147478],[-8.610138,41.147955],[-8.611974,41.148144],[-8.621361,41.147568],[-8.622351,41.147712],[-8.622387,41.147739],[-8.622639,41.147838],[-8.62389,41.148189],[-8.625474,41.14881],[-8.625852,41.150592],[-8.626239,41.152905],[-8.626698,41.154327],[-8.626662,41.154336],[-8.626653,41.154363],[-8.626653,41.154399],[-8.627004,41.155182],[-8.627931,41.156127],[-8.628516,41.156784],[-8.628498,41.15682],[-8.628597,41.156883],[-8.62839,41.15718],[-8.628255,41.157243],[-8.628183,41.158089],[-8.628858,41.158899],[-8.628453,41.160267],[-8.628075,41.161302],[-8.628075,41.161365],[-8.628075,41.161356]]"
15209,C,1403995946,"[[-8.606907,41.145768],[-8.607168,41.145849],[-8.606799,41.146767],[-8.607537,41.147136],[-8.608185,41.147271],[-8.608896,41.147442],[-8.609508,41.147577],[-8.609562,41.147604],[-8.609778,41.147685],[-8.609958,41.147703],[-8.610633,41.147793],[-8.610741,41.147784],[-8.61075,41.147775],[-8.611686,41.147856],[-8.6193,41.147874],[-8.620524,41.14809],[-8.620983,41.150187],[-8.621145,41.151024],[-8.620812,41.152608],[-8.621046,41.154345],[-8.62092,41.15547],[-8.62092,41.155443],[-8.620866,41.155389],[-8.620794,41.156199]]"
17644,B,1384785771,"[[-8.610903,41.145489],[-8.610876,41.145516],[-8.610894,41.145714],[-8.610804,41.145849],[-8.610417,41.146146],[-8.60967,41.146677],[-8.608824,41.1471],[-8.608725,41.147082],[-8.608842,41.147415],[-8.609112,41.147487],[-8.610246,41.147685],[-8.610912,41.14782],[-8.61237,41.148036],[-8.621145,41.147523],[-8.621253,41.147496],[-8.621397,41.147514],[-8.621739,41.147568],[-8.622243,41.147694],[-8.62254,41.147775],[-8.622549,41.147802],[-8.623881,41.148162],[-8.624979,41.148576],[-8.625546,41.149233],[-8.62587,41.150682],[-8.625924,41.152059],[-8.625942,41.152176],[-8.62596,41.15214],[-8.626329,41.153256],[-8.626689,41.154273],[-8.62668,41.154255],[-8.62668,41.154255],[-8.626896,41.155038],[-8.627895,41.156271],[-8.62812,41.156352],[-8.628246,41.156253],[-8.628597,41.156739],[-8.628579,41.156748],[-8.62857,41.156739],[-8.628561,41.156748],[-8.62857,41.156757],[-8.628498,41.157072],[-8.628282,41.157261],[-8.628192,41.157378],[-8.62749,41.157621],[-8.625726,41.157405],[-8.625258,41.157243],[-8.625267,41.157225],[-8.624952,41.157171]]"
18886,B,1390015036,"[[-8.605845,41.15358],[-8.606286,41.153562],[-8.607699,41.15358],[-8.60913,41.153544],[-8.60985,41.153589],[-8.61003,41.153571],[-8.610327,41.152572],[-8.610327,41.15169],[-8.610984,41.150349],[-8.611344,41.149008],[-8.61156,41.147901],[-8.612676,41.148063],[-8.620812,41.147352],[-8.622972,41.147838],[-8.625168,41.148558],[-8.6256,41.148873],[-8.625915,41.151294],[-8.626374,41.152617],[-8.628084,41.152419],[-8.630415,41.15259],[-8.630631,41.15223],[-8.630586,41.152185],[-8.63055,41.15214]]"
